name,mu,sigma,trueskill
workerRushAI,31.14422518233758,0.9246214481677701,28.37036083783427
mixedBot,31.0961724011686,0.9323105563012659,28.299240732264803
droplet,30.10773279088699,0.9868436880649866,27.14720172669203
tiamat,29.756876736409556,0.9151121729332381,27.01154021760984
izanagi,29.21451595461439,0.8397673008751952,26.695214051988806
coacAI,27.12720979301299,0.8270317638479365,24.64611450146918
guidedRojoA3N,26.16287356919483,0.8779007717497077,23.529171253945705
lightRushAI,25.186429104065517,0.9333531361050396,22.3863696957504
rojo,23.982930944532043,0.8836463670286748,21.33199184344602
naiveMCTSAI,22.95715817823718,0.8811592976079711,20.313680285413266
randomBiasedAI,11.16723531954204,1.0953034674808941,7.8813249170993585
randomAI,5.99150816359326,1.3273299732189805,2.009518243936319
passiveAI,4.612873985880536,1.8213004898345233,-0.8510274836230343
